:END_ID;:START_ID
128667553;0
128667540;0
128667544;1
128667540;1
128667543;1
128667549;1
128667539;1
128667542;2
128667546;2
128667540;2
128667545;2
128667551;2
128667552;3
128667553;4
128667541;4
128667546;4
128667540;4
128667547;4
128667539;4
128667548;4
128667542;4
128667544;4
128667543;4
128667548;5
128667549;5
128667545;5
128667543;5
128667553;5
128667541;5
128667547;5
128667546;6
128667553;6
128667541;6
128667551;6
128667547;6
128667539;6
128667549;6
128667542;6
128667543;7
128667547;8
128667543;8
128667553;8
128667546;8
128667540;9
128667552;9
128667539;9
128667544;9
128667546;9
128667548;9
128667547;9
128667545;10
128667541;10
128667543;11
128667549;12
128667541;12
128667544;12
128667550;12
128667552;12
128667542;12
128667549;13
128667550;13
128667553;13
128667542;13
128667548;14
128667551;14
128667552;14
128667542;14
128667539;14
128667547;14
128667545;14
128667546;15
128667544;15
128667548;15
128667553;15
128667540;15
128667552;15
128667539;15
128667545;16
128667539;16
128667543;16
128667548;16
128667546;16
128667541;16
128667548;17
128667547;17
128667549;17
128667541;17
128667543;17
128667545;17
128667553;18
128667544;18
128667552;18
128667546;18
128667540;18
128667545;18
128667551;18
128667549;18
128667539;18
128667547;18
128667545;19
128667541;19
128667547;19
128667541;20
128667545;20
128667553;20
128667549;20
128667539;20
128667549;21
128667543;21
128667553;21
128667546;21
128667552;21
128667547;21
128667542;21
128667544;21
128667545;21
128667552;22
128667542;22
128667549;22
128667549;23
128667553;23
128667540;23
128667548;23
128667545;23
128667552;23
128667551;23
128667541;24
128667545;24
128667548;25
128667545;25
128667544;26
128667551;26
128667553;26
128667540;26
128667547;26
128667542;26
128667545;26
128667539;27
128667551;27
128667544;27
128667541;27
128667552;27
128667546;27
128667543;27
128667540;27
128667545;27
128667550;28
128667553;28
128667540;28
128667545;28
128667546;29
128667541;29
128667540;29
128667549;29
128667553;29
128667548;29
128667543;29
128667543;30
128667541;30
128667540;30
128667539;31
128667540;31
128667547;31
128667544;31
128667545;31
128667549;31
128667551;32
128667548;32
128667552;32
128667547;32
128667550;32
128667544;32
128667553;33
128667547;34
128667539;34
128667545;34
128667549;34
128667540;35
128667547;35
128667545;35
128667539;35
128667548;35
128667546;35
128667550;35
128667552;36
128667544;36
128667540;36
128667549;36
128667546;36
128667550;36
128667545;36
128667553;36
128667547;36
128667551;36
128667539;37
128667552;37
128667543;37
128667547;37
128667540;37
128667541;37
128667553;37
128667542;37
128667545;37
128667539;38
128667552;38
128667550;38
128667549;38
128667542;38
128667543;39
128667549;39
128667540;39
128667548;39
128667550;39
128667539;39
128667553;39
128667544;39
