:START_ID;isCorrespondingAuthor:string;:END_ID
6763640;false;0
6767757;false;1
6762633;false;1
6755212;false;1
6773129;false;1
6766785;false;1
6761650;false;1
6766012;false;1
6768433;false;2
6760414;false;2
6767453;false;2
6771182;false;2
6773208;false;2
6759056;false;2
6755156;false;2
6761667;false;2
6768033;false;3
6768445;false;3
6761804;false;3
6770345;false;3
6757621;false;3
6754648;false;3
6764263;false;3
6766540;false;3
6772112;false;4
6765456;false;4
6771117;false;4
6757255;false;4
6773417;false;4
6754021;false;4
6773307;false;5
6757638;false;5
6760456;false;5
6770774;false;5
6757023;false;5
6772468;false;5
6760451;false;5
6761333;false;5
6759670;false;6
6757618;false;7
6755338;false;7
6757482;false;8
6770636;false;8
6766110;false;8
6773124;false;8
6767130;false;8
6766020;false;9
6767062;false;9
6770056;false;9
6754777;false;10
6770844;false;10
6768602;false;10
6761756;false;10
6771899;false;10
6763607;false;10
6761371;false;11
6763636;false;11
6762582;false;11
6763261;false;11
6762353;false;12
6771429;false;12
6766875;false;12
6757242;false;12
6759794;false;12
6753659;false;13
6771484;false;13
6756794;false;13
6756189;false;13
6760337;false;13
6764014;false;13
6771045;false;13
6760366;false;14
6773262;false;14
6767641;false;14
6760647;false;14
6769280;false;14
6768469;false;15
6769062;false;15
6769204;false;15
6773541;false;15
6764135;false;15
6756917;false;15
6753985;false;16
6769786;false;16
6766897;false;16
6762699;false;16
6769708;false;17
6760579;false;17
6757564;false;17
6763765;false;17
6761990;false;18
6773139;false;18
6770826;false;18
6757987;false;18
6772822;false;18
6753740;false;19
6768603;false;19
6770007;false;19
6770063;false;19
6767386;false;20
6771892;false;21
6755233;false;21
6754593;false;21
6766817;false;21
6765795;false;21
6765757;false;21
6762415;false;21
6770679;false;21
6763850;false;22
6757168;false;22
6773611;false;22
6754391;false;22
6771175;false;22
6768802;false;23
6760108;false;23
6764953;false;23
6757818;false;23
6759270;false;23
6772656;false;24
6772266;false;24
6759724;false;25
6765111;false;25
6773186;false;25
6760268;false;25
6754079;false;25
6768407;false;25
6768009;false;25
6754162;false;25
6773257;false;26
6772288;false;26
6771042;false;26
6754091;false;26
6756406;false;27
6767271;false;28
6766989;false;28
6766039;false;29
6756100;false;29
6756159;false;29
6771243;false;29
6759918;false;30
6767547;false;30
6762917;false;31
6766683;false;31
6768097;false;31
6766323;false;31
6762648;false;31
6767944;false;31
6759685;false;31
6771808;false;31
6769954;false;32
6760707;false;32
6765227;false;32
6761237;false;32
6761505;false;32
6767865;false;32
6765469;false;33
6768581;false;34
6766914;false;34
6763512;false;34
6769542;false;34
6767837;false;35
6770711;false;36
6771491;false;36
6770584;false;36
6763828;false;36
6766598;false;36
6755502;false;36
6756088;false;37
6766803;false;37
6770483;false;37
6757282;false;37
6758792;false;37
6759402;false;38
6760953;false;38
6762639;false;38
6760867;false;39
6769732;false;39
6755778;false;40
6771844;false;40
6769416;false;40
6764677;false;40
6756062;false;41
6769109;false;41
6771262;false;41
6769190;false;41
6756011;false;41
6757020;false;41
6753784;false;41
6772115;false;41
6754590;false;42
6763407;false;42
6755160;false;42
6760038;false;42
6754802;false;43
6762685;false;43
6762264;false;43
6773458;false;44
6769426;false;44
6772696;false;44
6763567;false;44
6764805;false;44
6768564;false;44
6754552;false;45
6768375;false;45
6773294;false;45
6762014;false;45
6757688;false;45
6765551;false;45
6757084;false;45
6772341;false;45
6761337;false;46
6760715;false;46
6769710;false;46
6761499;false;46
6769493;false;46
6760861;false;46
6755867;false;46
6765723;false;47
6771464;false;47
6772568;false;47
6761674;false;47
6755528;false;47
6763838;false;47
6755297;false;48
6769290;false;48
6762535;false;48
6773478;false;48
6757320;false;48
6767397;false;48
6768307;false;49
6771082;false;49
6773567;false;49
6763100;false;50
6771244;false;50
6768398;false;50
6757326;false;50
6768061;false;50
6772675;false;50
6759609;false;51
6770463;false;52
6757108;false;52
6760824;false;52
6758391;false;52
6764196;false;52
6754412;false;52
6763450;false;52
6767607;false;52
6770894;false;53
6763343;false;54
6771001;false;54
6758885;false;54
6771013;false;55
6761888;false;56
6763203;false;56
6759242;false;56
6770463;false;56
6768166;false;56
6770811;false;56
6763442;false;56
6769815;false;57
6762668;false;57
6754508;false;57
6769115;false;58
6766498;false;59
6760107;false;59
6769417;false;60
6769615;false;60
6760108;false;60
6773110;false;60
6759511;false;61
6772433;false;61
6764280;false;61
6761448;false;62
6772263;false;62
6762165;false;62
6754443;false;63
6767089;false;63
6755117;false;63
6754853;false;63
6755495;false;63
6773025;false;64
6764516;false;64
6768206;false;65
6754526;false;65
6757594;false;65
6772885;false;65
6759807;false;65
6761770;false;65
6769339;false;66
6755555;false;66
6770346;false;66
6765043;false;66
6756597;false;66
6773469;false;66
6763309;false;66
6761556;false;66
6756951;false;67
6761615;false;68
6769573;false;68
6755631;false;68
6772976;false;68
6770393;false;68
6766572;false;68
6769246;false;69
6756689;false;69
6772476;false;69
6767074;false;69
