:END_ID;:START_ID
8230;0
18289;1
11842;1
15433;1
14855;1
12289;1
1942;2
8939;2
6271;2
3212;3
9648;3
16497;3
3950;3
1284;3
19876;3
2407;3
15571;4
7457;4
14218;4
13994;4
19994;4
11802;4
7211;5
3538;5
11754;5
5664;5
11328;5
13732;5
621;5
19343;5
13902;6
2243;6
19506;7
13659;8
10044;8
10584;8
19327;9
9654;9
4990;10
9635;10
49;11
9947;11
328;11
12382;11
10322;11
9494;11
356;11
5590;11
16644;12
5579;12
1826;12
16505;12
3967;12
16633;13
4934;14
1144;15
16940;15
16977;15
14068;15
11069;16
11246;16
6787;16
15766;16
8576;16
11300;16
3191;16
17310;16
8996;17
12457;18
19293;18
16797;18
5280;18
7774;18
11216;18
5853;19
9698;19
19134;20
19716;20
2029;20
13178;20
14371;20
18859;20
17349;20
13231;20
18420;21
1454;21
261;21
8750;21
15335;21
6943;21
349;21
8108;22
7826;22
9753;22
17525;22
18546;22
18136;22
7604;23
17765;23
4966;23
11133;23
6947;23
2322;23
4297;24
19606;24
879;24
16296;24
9399;24
3713;24
19166;24
16645;25
14780;25
3005;25
4460;26
19524;26
2642;26
17842;26
9064;26
19675;27
19519;27
11219;27
15340;27
11736;27
18983;27
4342;27
18037;28
19618;28
11022;28
4484;28
13878;28
11361;28
3031;28
9408;28
13593;29
16433;29
17789;29
18786;29
9156;30
12806;30
14694;30
5484;31
495;31
19321;31
12117;32
9671;32
12308;32
5072;33
18436;33
7030;33
17090;33
10614;33
7575;33
13851;33
5794;33
6701;34
2393;35
11974;35
19897;35
1948;36
12393;36
14549;36
16127;36
5252;36
19364;36
17055;36
13598;37
19088;37
5792;37
3810;37
18194;37
6817;37
2727;37
18574;37
7561;38
11722;38
13279;38
6057;38
19393;39
12539;39
19824;39
4063;39
17777;39
15188;39
14753;39
10301;40
12004;41
18627;41
1492;41
13487;41
16746;42
13918;42
5092;42
19509;42
13501;42
18566;42
4011;43
5058;43
7079;43
1438;43
11350;44
8111;44
9587;44
18330;44
18117;44
11002;45
5445;45
19422;45
12356;45
9923;45
6700;45
3216;45
4537;46
16716;46
10318;47
3396;48
5804;48
14455;48
11615;48
8625;48
3336;49
13829;49
9024;49
4484;49
12348;49
13304;50
8304;50
11603;50
5571;50
5311;51
4917;51
11107;51
15241;51
7711;52
8985;52
1388;52
11522;52
445;53
5672;53
1219;53
9321;53
3308;53
5988;53
2021;53
12967;53
3886;54
13282;54
7452;54
1471;54
12272;54
14070;54
10696;55
4835;55
13825;55
4366;56
18804;56
15485;56
638;56
13103;57
12454;58
18119;58
14394;58
7866;59
12295;60
960;60
16736;61
3601;61
14354;61
2021;61
18724;62
1711;63
7524;63
417;64
10383;64
12270;64
5077;64
9782;64
14357;65
4542;66
2734;66
6236;66
993;66
771;66
18868;66
3407;67
14133;67
3164;67
4439;68
19386;68
1399;68
18076;68
17328;68
19204;69
8552;69
17898;69
6082;69
3442;70
2964;71
18102;71
8548;71
8337;71
5038;72
9511;72
4319;72
14089;72
4895;72
14885;72
478;72
15889;73
2958;73
5769;73
10078;73
19726;73
8124;73
2876;73
14334;73
19873;74
19547;74
7625;74
19214;74
5541;74
6893;74
9583;75
13941;75
12283;75
3197;76
3837;76
634;77
9586;77
16503;77
1519;77
5205;77
18749;77
4558;77
4087;77
6308;78
15856;78
18576;78
7374;78
19712;78
4303;78
5169;78
7981;78
386;79
3526;79
4730;79
799;80
18234;80
3896;81
19426;81
18098;81
4422;81
19291;81
16247;81
769;81
17208;81
16639;82
140;82
3835;82
19906;82
15099;83
5959;83
13950;83
5410;84
15427;84
6562;84
4185;84
4439;84
11971;84
13265;84
448;85
12701;85
1935;85
208;85
16601;85
6251;85
17913;85
8702;85
7286;86
11114;86
16322;86
6317;86
13990;86
10505;87
9982;87
16442;87
14828;87
1437;87
13471;87
10653;87
16857;88
9690;88
15520;88
11809;88
13558;88
11806;89
9170;89
6370;90
7687;90
1317;91
2551;92
6262;92
14782;92
4200;92
1478;93
5778;93
11585;93
10234;93
540;93
8103;93
13457;94
18876;94
13530;94
18972;95
5029;95
426;95
19131;95
267;95
19497;96
16962;96
5672;96
16136;96
13588;96
7672;96
15488;96
13036;97
15354;97
14106;97
8831;97
13599;97
19585;97
1012;97
8155;98
17682;98
5199;99
2167;99
12454;99
35;99
8823;99
13063;100
8181;100
16078;100
18788;100
13337;100
3545;101
11148;101
10522;101
11531;102
5474;103
16829;103
5557;103
16455;104
6232;104
9700;104
15956;104
10235;104
14210;104
6667;104
14605;104
5693;105
11498;105
16956;105
16721;106
10027;106
15273;106
6546;106
18989;106
363;106
2016;107
18782;107
19602;107
12523;107
8340;107
331;107
7553;108
824;108
17446;108
1970;108
5593;108
19715;108
19993;109
726;109
6870;109
2031;109
12226;109
18094;109
5864;109
580;109
7501;110
2267;110
4145;110
5132;110
11100;110
8459;110
889;110
15544;111
1428;111
1315;111
1534;111
16108;111
16430;112
19733;112
2998;112
8191;112
7299;112
5862;112
13449;112
1827;113
10460;113
3164;113
9301;113
7747;113
520;113
12819;113
16092;114
475;114
1613;115
15929;115
6909;115
7412;116
14027;116
19208;116
19060;116
14358;116
9973;117
18464;117
17421;117
10981;117
3304;117
15984;117
16361;118
2079;118
14197;118
11929;118
13090;118
8186;118
1457;118
9020;118
16917;119
17045;119
15364;119
17103;119
14586;119
8873;119
10617;119
14919;120
3459;120
3214;120
18285;121
3852;121
8784;121
2808;121
8906;121
14421;121
937;122
14293;122
1941;122
5560;122
18196;122
357;122
18708;122
2839;123
5752;123
18223;124
6712;124
11873;124
2326;125
7785;125
18326;125
16357;126
17447;126
5625;126
14182;126
18073;126
13964;127
2453;127
3487;127
1668;128
15890;128
15787;128
15577;128
5936;128
18210;128
4079;128
2477;129
17620;129
8935;129
13083;129
11525;129
8445;129
16102;130
3158;130
8594;130
4234;130
14212;130
16708;130
12677;131
5202;131
10712;131
17220;131
11998;131
8338;131
14472;131
3249;132
12101;132
1933;132
14191;132
15875;133
172;133
7049;133
3096;133
4708;133
2721;133
11017;133
14111;134
17089;134
17001;134
12375;134
12181;134
10610;134
5777;134
2986;134
16839;135
206;135
18892;135
9050;135
3478;135
10098;135
15597;136
5223;137
7649;137
7021;137
6732;138
12853;138
18061;138
6753;138
2458;138
14563;138
6969;138
2109;139
13665;139
5669;139
15385;139
14165;139
8374;139
12042;139
7355;140
11129;140
6630;140
5488;140
1148;140
3520;140
12051;140
18369;141
13657;141
12328;141
17678;141
18133;141
9488;142
5752;142
18220;142
14935;142
10530;142
9595;143
12706;143
16090;143
13609;143
3507;143
6328;143
5598;143
3237;143
13361;144
6005;144
1894;144
19060;144
18191;144
1907;144
5000;145
5880;146
11112;146
6118;147
12709;147
18449;148
6799;148
19088;148
12593;149
11587;149
8843;149
4166;149
9192;149
11556;150
19629;151
6260;151
14404;151
11779;152
6294;152
8761;153
18327;153
7414;153
5295;154
16513;154
18799;154
3738;154
4573;155
14769;155
19746;156
679;157
7248;157
6006;157
5254;157
7063;157
7834;158
769;158
11845;158
19579;159
14217;159
11537;159
2758;160
2632;161
15237;161
12082;161
16471;161
8899;161
5778;161
3431;162
8308;162
17225;162
17500;162
14810;162
5694;163
11145;164
129;165
19327;165
12315;166
12851;167
10595;167
7903;167
17356;168
13893;168
12135;168
16103;168
8130;168
18719;169
14952;170
4658;170
14491;170
8237;170
11743;171
14224;171
9742;171
13011;171
9068;171
5316;172
19130;172
15480;172
12362;172
7979;172
13998;172
15538;172
9751;172
19432;173
15864;173
5879;173
16905;173
6266;173
2956;173
17883;174
11961;174
19992;174
2706;174
2863;174
6697;174
4608;175
7316;175
18910;175
4434;175
4221;175
7071;176
3658;176
1558;176
948;177
5621;178
4116;178
2034;179
9504;179
4889;179
11312;179
8785;179
1491;179
3205;180
13384;180
9148;180
15734;180
4080;180
14536;180
11316;180
1049;181
5102;181
18321;181
10283;181
3593;181
3072;182
19264;182
19403;182
19407;182
2114;182
13845;182
9483;183
14686;183
6213;183
8874;183
19297;183
6216;184
13087;184
8859;184
17802;184
6629;184
11273;184
15143;185
560;185
13882;185
14789;185
549;185
17607;185
16982;186
8566;186
15667;186
6094;186
5658;186
15330;186
18642;186
7571;187
4565;187
282;187
2149;187
19597;187
12292;187
937;187
10542;188
13523;188
6830;188
18239;188
7733;188
8261;188
8366;189
3781;189
16608;189
4139;189
4438;190
9184;190
2260;190
5262;190
19530;190
15992;190
9872;190
12609;191
17426;191
5041;191
19004;191
16076;191
2362;191
3192;192
7376;192
7780;192
1430;192
3689;192
12814;192
9192;192
13279;193
4938;193
3193;193
16148;193
19500;193
3444;193
3930;194
5633;194
8146;194
14935;194
19220;194
2552;194
6016;194
15101;195
1655;195
19224;195
8308;195
12271;195
8862;195
5771;195
2171;196
4985;196
10689;196
14140;196
15297;196
17308;196
10667;197
4403;197
10513;197
17891;197
10114;197
5742;197
4794;197
15973;198
6777;198
19435;199
19392;199
4664;199
9353;199
15655;199
843;199
7598;199
17369;200
3659;200
19684;200
17626;200
2014;200
18319;200
11903;200
589;200
15440;201
4825;201
2777;202
10995;202
8245;202
1476;202
5431;202
7476;202
3766;202
1955;202
19231;203
16889;203
2109;203
18931;203
2006;204
5498;204
16085;204
1198;204
13968;204
4009;204
15507;204
5795;205
395;205
8146;205
12555;206
11841;206
18534;207
5650;207
13223;207
5400;207
10133;207
2088;208
14373;208
7836;208
3733;208
16551;208
10785;208
2198;208
12511;209
8360;209
10665;209
10706;209
12558;209
15037;209
18619;209
9818;210
3617;210
18787;210
17429;210
6445;210
2158;210
9984;211
15568;211
7609;211
18113;211
15775;211
3967;211
17951;211
8826;211
9461;212
15259;212
10245;213
940;213
5951;214
10198;214
17187;214
953;214
8680;214
13854;214
16808;214
2098;214
14665;215
17900;215
3852;215
10695;215
12834;215
12918;215
17246;216
4982;216
6916;216
10371;217
15685;217
7588;217
397;217
13350;217
7714;217
19566;217
12330;217
16346;218
19278;219
7632;219
19971;220
5387;220
17342;220
19844;220
6650;220
19474;220
2907;220
12036;220
2602;221
15032;221
11254;221
9453;221
14934;221
2193;221
13253;221
2189;222
2845;222
916;222
5541;222
11549;223
9141;223
13340;223
13068;223
18446;224
